jour,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Corse,Grand Est,Hauts-de-France,Île-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur,France entière
2020-03-18,0.21639882908103344,0.5975621598030606,0.18078257159592445,0.054342509971850576,NA,1.5839019343064509,0.5213351843785993,0.7860447084488718,0.1351157401430065,0.06882684475249028,0.16252924243238187,0.117096018735363,0.3299614978661827,0.45937904984270467
2020-03-19,0.48438109997789464,0.6900420178678199,0.2320043002147697,0.12032984350909771,NA,1.998347264102223,0.6562494014222623,1.1137686778021632,0.13811831214618442,0.08729258358852425,0.23609511005967046,0.15435384287843304,0.42338433159937905,0.6302854735993507
2020-03-20,0.5825154527006888,0.9603677568263475,0.283226028833615,0.22513325559766667,1.970513945864608,2.457840999310579,0.7195424908995364,1.4661335471068297,0.21318261222563248,0.1091157294856553,0.31308264594869345,0.19427294017457952,0.5585492825325141,0.8052397608736491
2020-03-21,0.6605196817880381,1.0066076858587272,0.32842167173259607,0.2484229027284598,2.030226489678687,2.7119140058375524,0.7062176299569525,1.714185273284008,0.27623662429236884,0.17962127776869413,0.35756433335124005,0.21290185224611455,0.6479966765323829,0.9095109614171341
2020-03-22,0.8064630781450142,1.2271365781669994,0.39169557179116965,0.28723898127978165,1.9108014020505288,3.0452722058906736,0.8078196946441554,2.0410878793055867,0.3543034963749948,0.2450907154600873,0.4482385422872005,0.26346604215456676,0.7712353082655355,1.071641848909081
2020-03-23,1.07318721631466,1.4618931409467733,0.3977216575110338,0.45414811905046554,1.9406576739575683,3.6236937313882516,1.0193518621076765,2.5807235882407054,0.4443806564703325,0.3290258919875145,0.5662860973170357,0.39120715350223545,0.9560932558652644,1.3375798218085628
2020-03-24,1.2342282053982196,1.696649703726547,0.40073470037096587,0.5317802761531092,2.0899390334927657,4.3282507920410636,1.1842470162721537,3.025081150697173,0.5104372405402468,0.44149902853426687,0.6535386379912618,0.49765807962529274,1.0833073273317444,1.5688638645570943
2020-03-25,1.5475032544748322,2.102138312164338,0.4760607718692677,0.6404652960968104,2.4183580244702005,4.901266508889132,1.3807887151752676,3.604963662886205,0.6755787007150326,0.5707592003865046,0.8023812073767063,0.6280604641260379,1.2085336789315608,1.8628034506589066
2020-03-26,1.7890647381001719,2.41514706253737,0.6086346577062789,0.7685583553161726,2.8363458311687535,5.367967988963501,1.5306934007793378,4.2152366183486,0.8197021568675728,0.6698027086888687,0.9426696061078147,0.7504790291675537,1.3814653073313072,2.1389519565492936
2020-03-27,2.060821407178679,2.632119037227767,0.6478042148853959,0.9587571402176496,3.04533973451803,5.928370152296045,1.6539483644982398,4.758157780610569,0.9398050369946896,0.8091351017243977,1.0572954928759155,0.9873323397913562,1.6358934502642675,2.4172663330741146
2020-03-28,2.3954847126179515,2.799294165267909,0.7231302863836978,1.13731110155373,3.2244773659602677,6.351825163174334,1.885467823375637,5.357753012760702,1.1559902212235,0.8225647299687863,1.2078488963922271,1.1736214605067063,1.8565303554639436,2.7023877315928724
2020-03-29,2.660950718060382,3.10518908040519,0.8074954864617958,1.389615612137322,2.925914646889872,6.7302317686400395,2.060356623247052,5.8251087485051185,1.3661702614459545,0.9367165700460871,1.361823968170273,1.3279753033851394,2.132823416930205,2.963684553132852
2020-03-30,2.93522365259332,3.208339691323575,0.8737824293803014,1.773894789795408,2.9557709187969117,7.11764805518826,2.256898322150166,6.315462657537488,1.4382319895222246,1.1045869231009415,1.4610523477605695,1.362571854375133,2.425018237329777,3.217555532497628
2020-03-31,3.1289760925844776,3.2510227027380796,0.9008998151196902,1.9524487511314887,2.9557709187969117,7.651021175273255,2.4384495524928735,7.076045102703271,1.6063760217001883,1.128088772528621,1.495269030377913,1.3572493080689803,2.5760849471962217,3.4830293902611595
2020-04-01,3.315179736212343,3.425311666013972,1.0304606580967692,2.181463614584288,2.866202103075793,8.054654887770006,2.6899563027841467,7.892480254425506,1.6904480377891702,1.1750924713839803,1.5842324051830063,1.4610389610389611,2.6973358590627106,3.7727919401394203
2020-04-02,3.4045071598446306,3.617385217379242,1.178099758233441,2.4842290272845977,2.567639384005398,8.391616960256133,3.0397339025269763,8.437865506682613,1.891620362002091,1.183485989036723,1.6697741117263651,1.5195869704066425,2.965678041062317,4.017535321830508
