nom_reg,croiss_j5,croiss_j4,croiss_j3,croiss_j2,croiss_j1,croiss_j
Auvergne-Rhône-Alpes,-2.796934865900383,-1.8919984233346472,-0.7633587786259541,0.16194331983805668,0.32336297493936944,-1.7324738114423852
Bourgogne-Franche-Comté,-1.084236864053378,-0.42158516020236086,-3.4716342082980525,-0.08771929824561403,0.35118525021949076,-0.17497812773403326
Bretagne,-0.2544529262086514,-0.25510204081632654,-4.603580562659847,0,-1.0723860589812333,-1.084010840108401
Centre-Val de Loire,0.31315240083507306,0.72840790842872,0.9297520661157025,0.7164790174002047,0.8130081300813009,-1.1088709677419355
Corse,-9.67741935483871,1.7857142857142856,3.508771929824561,-3.389830508474576,-1.7543859649122806,1.7857142857142856
Grand Est,-4.388489208633094,-2.1319287684976174,-1.9989748846745259,-0.18305439330543932,-0.49777312025150644,-0.6582411795681937
Hauts-de-France,-4.324097397145256,-1.8867924528301887,-1.2075134168157424,0.9959257582616569,-0.3137606454504706,0.40467625899280574
Île-de-France,-2.3261961406291305,-1.6599007668019847,-1.0732960278873498,-0.6398367952522255,-0.2799813345776948,-1.1043518951801592
Normandie,-3,0.859106529209622,-2.0442930153321974,-0.17391304347826086,0.17421602787456447,0.34782608695652173
Nouvelle-Aquitaine,-7.402234636871509,-7.239819004524888,-3.2520325203252036,-0.5042016806722689,0,-1.5202702702702704
Occitanie,-5.405405405405405,-4.360902255639098,-4.088050314465408,-1.1475409836065573,1.1608623548922055,-6.229508196721312
Pays de la Loire,-7.275320970042796,-3.230769230769231,-1.1128775834658187,0.3215434083601286,0.8012820512820512,-0.9538950715421303
Provence-Alpes-Côte d'Azur,-3.961584633853541,-4.6875,-1.7049180327868854,-0.40026684456304207,0.6697923643670463,-1.996007984031936
France entière,-3.14806063470137,-1.974252148782044,-1.4549910020293295,-0.2370128608617943,-0.07010437762891417,-1.067893054797724
