nom_dpt,rea,dc,LITS,tendu,hosp_hab,hosp-03-18,hosp-03-19,hosp-03-20,hosp-03-21,hosp-03-22,hosp-03-23,hosp-03-24,hosp-03-25,hosp-03-26,hosp-03-27,hosp-03-28,hosp-03-29,hosp-03-30,hosp-03-31,hosp-04-01,hosp-04-02,hosp-04-03,hosp-04-04,hosp-04-05,hosp-04-06,hosp-04-07,hosp-04-08,hosp-04-09,hosp-04-10,hosp-04-11,hosp-04-12,hosp-04-13
Indre,9,38,10,FALSE,4.22981388818892,0,3,4,5,5,16,19,23,23,29,41,40,43,43,51,49,47,56,65,63,63,63,66,79,84,82,94
Indre-et-Loire,57,36,79,FALSE,3.231598437621082,4,6,12,12,13,18,22,25,33,51,51,58,81,101,113,138,148,170,166,181,181,192,193,193,200,194,196
Isère,49,48,74,FALSE,2.025864329057568,18,22,27,30,36,51,59,79,88,114,120,140,165,175,186,199,202,204,222,241,248,228,236,249,246,248,255
Jura,17,28,8,TRUE,4.765784740264731,2,2,6,7,8,10,24,28,45,48,37,37,48,52,55,55,60,70,78,77,90,100,105,111,112,117,124
Landes,12,10,14,FALSE,0.5890380027684786,0,0,0,0,0,4,4,9,8,10,9,11,15,15,16,17,17,22,22,21,26,29,30,25,25,24,24
Loir-et-Cher,14,22,12,TRUE,2.9224349607580256,0,2,4,4,4,6,10,11,16,24,29,29,48,49,58,73,67,67,66,83,86,91,103,93,93,96,97
Loire,103,110,70,TRUE,6.422514978222431,31,48,63,71,98,123,160,210,247,262,321,374,391,415,414,435,449,466,467,487,478,475,472,464,470,493,490
Haute-Loire,6,6,8,FALSE,1.3639383499865807,1,1,2,4,5,7,8,11,13,14,14,14,16,16,17,17,20,23,25,30,27,22,24,24,30,32,31
Loire-Atlantique,64,71,77,FALSE,2.143509003096259,18,24,30,38,50,57,77,89,91,128,144,158,158,159,188,204,216,244,250,261,264,263,274,289,288,295,299
Loiret,77,41,47,TRUE,4.306117784118979,5,9,26,30,37,43,43,49,59,63,83,115,139,151,179,196,218,228,231,245,248,263,256,265,277,284,292
Lot,10,2,8,TRUE,1.1505626251236856,0,0,0,1,1,2,2,3,3,3,3,5,5,5,8,13,19,17,15,19,19,17,20,18,20,20,20
Lot-et-Garonne,6,4,11,FALSE,0.9013285582949266,10,10,10,13,15,18,16,17,16,17,25,27,27,25,29,30,29,28,31,31,30,29,29,28,27,30,30
Lozère,1,0,3,FALSE,0.7832795916502396,1,1,1,1,2,4,7,8,7,7,8,9,8,7,9,9,9,8,8,8,6,6,6,6,6,6,6
Maine-et-Loire,45,54,61,FALSE,2.728972468109744,12,16,22,22,22,46,58,67,79,91,107,117,125,144,150,144,152,157,161,165,174,182,191,194,203,220,222
Manche,20,21,28,FALSE,1.4691587355574651,7,6,12,15,19,20,20,21,22,26,32,37,46,46,54,57,59,65,75,70,66,65,71,79,71,72,73
Marne,60,139,54,TRUE,6.943284788932931,35,39,54,67,92,117,145,180,199,218,254,260,269,324,329,365,355,384,391,389,391,374,386,392,366,383,395
Haute-Marne,18,42,8,TRUE,5.693463903438852,4,4,8,9,13,13,24,23,36,49,53,53,55,65,66,66,82,99,99,109,115,107,97,100,99,99,100
Mayenne,11,19,8,TRUE,2.211777716339508,4,5,7,7,9,14,14,21,27,45,46,54,56,55,56,60,66,75,74,76,71,74,75,74,65,69,68
Meurthe-et-Moselle,149,179,83,TRUE,6.898610870629232,42,54,65,76,105,121,161,192,209,253,314,325,372,391,411,465,501,497,488,512,496,480,470,508,508,496,506
Meuse,20,49,8,TRUE,7.639419404125286,11,35,46,60,60,86,96,107,116,128,130,131,148,141,162,153,154,159,157,169,168,164,158,154,143,144,143
Morbihan,35,60,22,TRUE,1.7446591455431948,39,42,49,62,77,67,67,69,89,89,93,98,106,117,133,138,143,136,135,147,144,154,147,139,130,132,131
Moselle,164,497,88,TRUE,10.033329436274464,169,194,257,286,332,391,525,567,642,691,747,809,871,947,1021,1030,1026,1028,1018,1011,1020,1002,1022,1052,1038,1050,1047
Nièvre,11,8,12,FALSE,2.896004479153594,0,0,1,1,1,3,3,3,4,6,7,9,12,12,12,15,21,27,34,36,34,36,37,48,53,56,60
Nord,266,274,225,TRUE,3.7245220612657004,106,138,112,79,96,145,183,239,283,331,389,446,512,573,613,703,729,773,828,872,891,895,912,937,935,950,970
Oise,72,221,36,TRUE,5.591247090671593,94,109,123,138,147,174,189,210,224,232,245,259,276,278,293,354,356,344,358,377,408,424,424,434,444,463,461
Orne,14,19,16,FALSE,2.5055404203661618,4,2,3,4,4,6,8,11,14,15,19,25,28,37,49,58,59,63,67,65,68,68,72,75,67,73,71
Pas-de-Calais,92,105,85,TRUE,3.044921792512081,22,30,50,44,49,65,85,103,119,121,149,168,191,215,275,290,343,363,363,391,431,434,457,446,434,440,447
Puy-de-Dôme,27,18,77,FALSE,1.2237243438543033,10,9,4,4,4,7,15,17,21,27,35,51,61,59,77,74,71,69,80,84,77,74,73,73,72,76,80
Pyrénées-Atlantiques,24,19,35,FALSE,1.3583165143235951,5,9,8,10,15,19,23,32,39,48,48,52,55,72,73,74,77,80,77,85,81,88,96,97,92,93,92
Hautes-Pyrénées,5,10,12,FALSE,3.631908283376362,0,2,2,5,6,7,6,7,15,17,21,25,29,28,39,41,40,43,52,55,57,62,64,68,74,84,83
Pyrénées-Orientales,26,22,32,FALSE,1.5596941313346768,9,19,26,25,60,83,91,98,113,112,123,126,123,122,111,112,103,107,102,105,98,91,87,79,78,79,74
Bas-Rhin,256,357,122,TRUE,9.82622856731633,210,302,366,420,463,545,621,690,727,787,834,884,912,963,1005,1037,1064,1054,1078,1078,1083,1077,1090,1106,1107,1102,1106
Haut-Rhin,140,595,70,TRUE,13.389526589270055,371,437,509,517,538,634,713,802,878,963,954,999,1027,1041,1083,1105,1100,1024,1019,1040,1056,1028,1012,1023,1026,1027,1023
Rhône,252,320,192,TRUE,6.792096213406361,36,210,236,272,326,429,476,570,644,741,860,907,985,1054,1114,1138,1202,1215,1250,1223,1174,1150,1197,1194,1243,1241,1252
Haute-Saône,17,50,12,TRUE,3.5916656455068265,14,14,26,26,26,26,37,44,62,67,66,66,63,69,68,77,81,80,80,79,84,87,91,89,87,85,85
Saône-et-Loire,34,92,26,TRUE,3.1792194654937274,35,48,53,50,65,84,92,109,149,165,182,184,187,191,173,169,163,162,173,193,191,191,188,184,174,175,176
Sarthe,22,27,17,TRUE,2.736069873928961,9,8,8,9,11,20,23,26,39,53,79,97,98,101,99,106,109,105,108,106,113,116,130,143,147,151,155
Savoie,25,24,18,TRUE,2.574366728977165,8,10,17,18,22,26,28,41,52,61,66,82,85,101,110,115,109,114,118,118,123,122,121,118,107,108,111
Haute-Savoie,72,88,34,TRUE,3.579567974633373,31,37,54,54,64,92,93,116,135,162,178,212,242,246,250,254,276,264,294,292,285,280,282,282,283,285,289
Paris,796,959,389,TRUE,14.93010825928469,359,453,575,649,728,925,1076,1289,1493,1656,1927,2115,2217,2434,2633,2838,2897,2999,3075,3119,3169,3154,3155,3181,3219,3249,3266
Seine-Maritime,99,100,93,TRUE,2.559037228012609,30,33,48,60,72,81,98,125,151,172,216,263,271,313,306,335,338,350,358,364,362,341,330,335,328,315,321
Seine-et-Marne,206,240,77,TRUE,5.8974484988215785,25,48,79,89,127,161,168,216,271,321,386,418,468,534,565,619,694,673,709,692,740,734,752,782,798,811,828
Yvelines,183,276,84,TRUE,7.439513970294786,69,92,136,174,206,226,295,330,414,452,513,559,594,706,815,837,858,913,909,963,992,1040,1035,1042,1056,1063,1070
Deux-Sèvres,7,10,8,FALSE,0.9616643203838109,2,3,5,5,8,8,9,11,15,16,17,23,25,29,33,29,28,26,29,28,32,33,36,38,38,35,36
Somme,69,126,58,TRUE,6.3063047325235875,50,74,95,102,124,137,147,162,169,177,215,228,241,254,270,292,329,332,349,364,351,353,366,359,352,348,361
Tarn,19,11,24,FALSE,1.1601227152027638,2,5,6,8,10,7,8,16,24,25,30,38,39,45,53,59,60,61,61,55,58,57,51,45,42,44,45
Tarn-et-Garonne,10,3,18,FALSE,0.696731940127502,1,1,1,3,3,2,3,3,3,4,4,4,7,8,11,12,14,14,16,18,18,20,20,19,18,18,18
Var,54,61,60,FALSE,2.635207888622325,23,27,35,40,56,56,72,93,103,114,139,156,170,180,177,198,197,217,238,240,233,258,268,269,274,265,279
Vaucluse,17,22,16,TRUE,1.304785344936986,9,12,13,20,22,25,26,33,35,42,45,49,63,60,70,82,78,78,80,87,86,82,86,81,76,79,73
Vendée,20,21,18,TRUE,1.169942258166271,1,5,6,4,7,10,15,33,46,54,65,73,75,51,56,57,65,68,74,77,72,65,71,72,75,75,79
Vienne,29,21,53,FALSE,1.6251751068953204,7,7,11,12,13,15,17,15,24,28,26,34,41,43,47,44,47,45,56,61,59,60,59,56,63,67,71
Haute-Vienne,18,11,24,FALSE,2.083188667453649,2,6,7,8,13,17,18,20,23,33,39,49,55,61,61,64,61,67,66,66,68,72,74,68,69,77,78
Vosges,31,168,8,TRUE,7.316283763017682,32,38,46,55,62,65,76,110,101,126,150,179,196,247,253,266,253,248,268,269,253,248,254,277,266,268,269
Yonne,20,28,18,TRUE,2.4535089612197782,6,5,10,11,13,16,18,32,35,37,38,40,52,75,85,97,101,102,101,103,94,95,91,88,85,84,83
Territoire de Belfort,37,115,25,TRUE,16.05642888193967,25,39,49,61,68,94,109,138,137,147,164,171,177,201,219,216,217,204,212,221,216,209,210,222,217,220,229
Essonne,237,220,97,TRUE,9.49750410838419,51,82,122,151,196,253,294,360,416,453,516,528,586,639,687,758,831,911,931,943,958,1125,1134,1184,1206,1230,1231
Hauts-de-Seine,436,527,184,TRUE,12.458786582539306,149,206,254,298,378,496,616,740,851,967,1103,1169,1286,1446,1638,1748,1848,1929,1950,1978,1932,1987,1968,1974,1978,2024,2005
Seine-Saint-Denis,245,527,100,TRUE,9.974672095746996,92,143,201,220,263,333,390,463,547,680,677,758,863,964,1173,1208,1267,1310,1338,1406,1461,1499,1575,1597,1619,1638,1619
Val-de-Marne,323,570,156,TRUE,16.204033932644826,122,182,226,268,306,384,467,550,651,760,871,961,1030,1170,1368,1474,1613,1651,1729,1811,1956,2046,2116,2190,2233,2231,2249
Val-d'Oise,178,385,60,TRUE,7.553202053038455,90,150,192,238,281,364,377,441,489,504,530,584,645,722,730,791,816,828,833,850,866,894,946,911,916,919,928
France entière,6649,9569,4934,TRUE,4.920703376389656,2954,4053,5205,5879,6927,8646,10141,12041,13826,15625,17468,19157,20798,22514,24387,25969,27135,27848,28589,29406,29726,30072,30467,30960,31022,31524,31807
