hosp,dc,rea,LITS,nom_dpt,pop,jour,hosp_hab,rea_hab,dc_hab
136,41,14,17,Sarthe,566506,2020-04-20,2.4006806635763787,0.24712889183874487,0.7237346118134671
87,36,18,18,Savoie,431174,2020-04-20,2.017746895684805,0.41746487496926993,0.8349297499385399
268,118,50,34,Haute-Savoie,807360,2020-04-20,3.3194609591755846,0.6193024177566389,1.4615537059056678
2933,1239,642,389,Paris,2187526,2020-04-20,13.407840638236985,2.9348222603982768,5.663932680114431
282,119,72,93,Seine-Maritime,1254378,2020-04-20,2.248126162926965,0.5739896586196506,0.9486773524408112
752,380,157,77,Seine-et-Marne,1403997,2020-04-20,5.35613680086211,1.118236007626797,2.706558489797343
901,357,136,84,Yvelines,1438266,2020-04-20,6.264487931995889,0.9455830840748513,2.4821555956964847
33,13,5,8,Deux-Sèvres,374351,2020-04-20,0.8815256270184932,0.13356448894219594,0.3472676712497095
347,151,52,58,Somme,572443,2020-04-20,6.061738898021288,0.9083873852942564,2.6378172149890906
41,17,11,24,Tarn,387890,2020-04-20,1.0570006960736291,0.28358555260512,0.43826858129882185
16,3,8,18,Tarn-et-Garonne,258349,2020-04-20,0.6193172801133351,0.30965864005666754,0.11612199002125032
312,87,49,60,Var,1058740,2020-04-20,2.9468991442658252,0.46281428868277386,0.8217314921510475
64,24,16,16,Vaucluse,559479,2020-04-20,1.143921398300919,0.2859803495752298,0.4289705243628447
66,26,14,18,Vendée,675247,2020-04-20,0.9774201144173909,0.20733153942187083,0.3850442874977601
59,25,17,53,Vienne,436876,2020-04-20,1.3504976240397735,0.3891264340453584,0.5722447559490564
51,20,10,24,Haute-Vienne,374426,2020-04-20,1.362084897950463,0.2670754701863653,0.5341509403727306
245,209,23,8,Vosges,367673,2020-04-20,6.663529821335807,0.6255558607784634,5.6843989088129945
93,41,20,18,Yonne,338291,2020-04-20,2.749112450523366,0.5912069786071754,1.2119743061447097
188,132,29,25,Territoire de Belfort,142622,2020-04-20,13.181697073382788,2.03334688897926,9.255234115353874
1201,322,186,97,Essonne,1296130,2020-04-20,9.266045844166866,1.435041238147408,2.484318702599276
1983,699,384,184,Hauts-de-Seine,1609306,2020-04-20,12.32208169235683,2.386121719548675,4.343487192615948
1562,704,223,100,Seine-Saint-Denis,1623111,2020-04-20,9.623494634686107,1.3739048037996169,4.337349694506414
2215,764,334,156,Val-de-Marne,1387926,2020-04-20,15.95906409995922,2.4064683563821125,5.504616240347108
927,477,148,60,Val-d'Oise,1228618,2020-04-20,7.545062826688198,1.2046054998380293,3.882410969072568
